company_id,competitiveness,credibility,financial_flexibility,industrial_risk,is_bankrupt,management_risk,operating_risk
137,P,P,P,N,False,P,N
138,P,P,P,P,False,N,N
139,P,P,A,N,False,N,P
140,A,A,P,P,False,N,P
141,A,P,A,N,False,P,P
142,P,A,A,N,False,P,N
143,N,N,N,A,True,N,A
144,N,N,N,P,True,N,N
145,N,N,N,N,True,P,N
146,N,A,N,A,True,P,N
147,N,N,N,N,True,N,N
148,N,A,N,N,True,N,A
149,N,N,N,N,True,N,P
150,N,N,N,N,True,N,A
151,N,A,N,N,True,N,P
152,N,A,N,N,True,N,N
153,N,N,A,N,True,N,N
154,N,N,N,P,True,N,N
155,N,N,N,A,True,N,N
156,N,N,N,N,True,N,N
157,A,N,N,P,True,N,A
158,N,N,N,A,True,N,A
159,N,N,N,A,True,N,A
160,N,N,N,A,True,A,P
161,N,N,N,A,True,N,N
162,N,N,N,P,True,A,A
163,N,N,N,P,True,N,P
164,N,N,N,P,True,A,N
165,N,N,N,P,True,N,N
166,N,N,N,N,True,A,P
167,N,N,N,N,True,N,A
168,N,N,N,A,True,A,N
169,N,N,N,A,True,A,N
170,N,N,N,P,True,P,N
171,N,N,N,A,True,P,N
172,N,N,N,P,True,A,N
173,N,N,N,A,True,N,N
174,N,N,N,N,True,N,N
175,N,N,N,N,True,A,N
176,N,N,N,P,True,N,N
177,N,N,N,N,True,P,N
178,N,A,N,A,True,P,N
179,N,P,N,N,True,N,P
180,N,N,N,N,True,N,N
181,N,A,N,N,True,N,A
182,N,P,N,N,True,N,N
183,N,N,N,N,True,N,P
184,N,N,N,N,True,N,A
185,N,A,N,N,True,N,P
186,N,A,N,N,True,N,N
187,N,N,A,N,True,N,N
188,N,N,N,P,True,N,N
189,N,N,N,A,True,N,N
190,N,N,N,N,True,N,N
191,A,N,N,P,True,N,A
192,A,N,N,P,True,N,A
193,N,N,N,A,True,N,A
194,N,N,N,N,True,N,A
195,N,N,N,N,True,P,N
196,N,A,N,A,True,P,N
197,N,N,N,N,True,N,N
198,N,A,N,N,True,N,A
199,N,P,N,N,True,N,N
200,N,N,N,N,True,N,P
201,N,N,N,N,True,N,A
202,N,A,N,N,True,N,P
203,N,N,N,P,True,N,P
204,N,N,N,P,True,A,N
205,N,N,N,P,True,N,N
206,N,N,N,N,True,A,P
207,N,N,N,N,True,N,A
208,N,N,N,A,True,A,N
209,N,N,N,A,True,A,N
210,N,A,N,N,True,N,N
211,N,N,A,N,True,N,N
212,N,N,N,P,True,N,N
213,N,N,N,A,True,N,N
214,N,N,N,N,True,N,N
215,N,A,P,N,True,A,P
216,N,N,N,P,True,N,N
217,N,N,N,N,True,A,P
218,N,N,N,N,True,N,A
219,N,N,N,A,True,A,N
220,N,N,N,A,True,A,P
221,N,N,N,A,True,N,N
222,N,N,N,P,True,A,A
223,N,N,N,P,True,N,P
224,N,N,N,P,True,A,N
225,N,N,N,P,True,N,N
226,N,N,N,N,True,A,P
227,N,N,N,N,True,N,A
228,N,N,N,A,True,A,N
229,N,N,N,A,True,A,N
230,N,N,N,A,True,P,N
231,N,N,N,P,True,A,N
232,N,N,N,A,True,N,N
233,N,N,N,N,True,N,N
234,N,N,N,N,True,A,N
235,N,N,N,A,True,N,A
236,N,N,N,P,True,N,N
237,N,N,N,N,True,P,N
238,N,A,N,A,True,P,N
239,N,N,N,N,True,N,N
240,N,A,N,N,True,N,A
241,N,N,N,N,True,N,P
242,N,N,N,N,True,N,A
243,N,A,N,N,True,N,P
244,N,A,N,N,True,N,N
245,N,N,A,N,True,N,N
246,N,N,N,P,True,N,N
247,N,N,N,A,True,N,N
248,N,N,N,N,True,N,N
249,A,N,N,P,True,N,A
